x,y,theta
-17.66640622068824,-34.41364822286479,0.6219189901273138
0.0,0.0,1.570796326794897
-0.0010945889028515,0.2687784759830101,1.574868761716217
-0.0010945889028515,0.1954746473992483,1.570796326794897
-0.0010945889028515,-2.228824116601302e-06,1.570796326794897
-0.0049753182880015,-0.3176284463654093,1.558579022030936
-0.01094540714466,-0.6107829766044015,1.550434152188296
-0.020695905391907,-0.9527285216392688,1.542289282345656
-0.0409875312501456,-1.367620966959755,1.521927107739055
-0.0529237817549918,-1.611675346560041,1.521927107739055
-0.0640626807682753,-1.806834599650476,1.513782237896415
-0.0752015797815589,-2.001993852740912,1.513782237896415
-0.0856434603620472,-2.172717091130588,1.509709802975095
-0.0999625263820135,-2.392161904041838,1.505637368053775
-0.1095085703953244,-2.538458445982672,1.505637368053775
-0.1247211899257394,-2.757843125877055,1.501564933132455
-0.1408271106698225,-2.977164034324752,1.497492498211135
-0.1540485199943605,-3.14769453403606,1.493420063289815
-0.1719402270193247,-3.366876988591781,1.489347628368495
-0.1838680317026341,-3.512998624962262,1.489347628368495
-0.1998654614735461,-3.68329113576952,1.477130323604534
-0.2135775441343279,-3.829256145032884,1.477130323604534
-0.2318603210153702,-4.023876157384037,1.477130323604534
-0.2485511213808894,-4.194102107754343,1.473057888683214
-0.2659350155290445,-4.364258674540821,1.468985453761894
-0.2788469438319481,-4.485747503974022,1.464913018840574
-0.2995060291165937,-4.680129631067143,1.464913018840574
-0.316187228860124,-4.825785192976968,1.456768148997934
-0.3578768463335279,-5.165319880130111,1.448623279155294
-0.375743825250701,-5.310834746052887,1.448623279155294
-0.4074964466199605,-5.553108940539992,1.440478409312653
-0.4304137474797811,-5.722608953276321,1.436405974391333
-0.4540211341643066,-5.892014231500593,1.432333539470013
-0.4754380247337783,-6.037049130536946,1.424188669627373
-0.5055679680688231,-6.230190000506696,1.416043799784733
